"","Neighbourhood","Accommodates","Bathrooms","Bedrooms","Beds","Price","Square.Feet","Guests.Included","Extra.People","Review.Scores.Rating","Latitude","Longitude"
"1","Embajadores",2,1,1,2,50,NA,1,20,93,40.4112633727181,-3.69730543737129
"2","Embajadores",5,1,2,4,95,NA,4,0,97,40.4125562566508,-3.70115536479942
"3","La Latina",4,1,1,2,69,NA,2,18,91,40.4079077526305,-3.70509539544163
"4","Embajadores",4,1,1,2,57,NA,2,8,98,40.4116221344272,-3.70328105440427
"5","La Latina",2,1,1,1,59,NA,1,0,95,40.4073388717669,-3.70701922020474
"6","La Latina",14,2,3,14,120,NA,2,18,92,40.4090849589356,-3.70474447360407
"7","La Latina",2,1,1,1,89,NA,1,10,98,40.4100742405901,-3.71062368921898
"8","Palacio",5,3,3,3,192,NA,2,12,80,40.4201743859689,-3.7126287451007
"9","La Latina",4,1,1,1,100,NA,2,12,NA,40.4098980543166,-3.71094797097395
"10","Palacio",5,2,2,2,100,NA,2,15,95,40.4215557414176,-3.70984798015469
"11","La Latina",4,2,2,3,160,NA,1,0,93,40.4117262829596,-3.7126621848665
"12","Palacio",4,1,1,2,80,NA,2,0,88,40.4209921616193,-3.7104019678615
"13","Palacio",3,1,1,1,68,NA,2,5,83,40.4120284754107,-3.71577879541761
"14","Palacio",6,1,2,2,80,NA,4,25,95,40.4151246756073,-3.71029380059551
"15","Embajadores",3,1,1,1,50,NA,2,20,89,40.4120477890097,-3.70102152329749
"16","Embajadores",3,1,2,2,50,NA,1,10,93,40.4058143726412,-3.70025154460172
"17","La Latina",3,1,1,2,75,NA,2,12,100,40.4108669774936,-3.70696666517307
"18","Embajadores",5,1,1,3,75,NA,2,15,95,40.4117996554278,-3.70394330234265
"19","La Latina",3,1,1,2,55,NA,2,8,NA,40.4089340600732,-3.70497933127972
"20","Embajadores",3,1,0,2,65,NA,2,15,100,40.4126810920418,-3.70124736130644
"21","Palacio",4,1,1,3,60,NA,2,15,75,40.4214080985995,-3.70764993810137
"22","La Latina",6,2,2,2,72,592,2,20,90,40.4120574508639,-3.70914899306312
"23","Palacio",2,1,0,1,60,NA,1,0,82,40.4162755600845,-3.71018918835831
"24","Palacio",4,1,1,2,98,NA,2,20,88,40.4196800628157,-3.71074517581638
"25","Palacio",4,1,1,2,63,NA,2,10,95,40.4224779699706,-3.71015640446283
"26","La Latina",4,1,1,2,80,NA,2,20,99,40.4132229220586,-3.71193533976014
"27","La Latina",3,1,1,2,60,NA,2,10,98,40.4124770643467,-3.70899540860627
"28","Palacio",3,1,1,1,40,NA,2,10,89,40.4110550335798,-3.71683974848641
"29","La Latina",12,2,5,8,300,NA,7,20,93,40.41242019704,-3.70787344990483
"30","La Latina",2,1,1,1,65,NA,1,0,100,40.4096075025369,-3.71064857850773
"31","Embajadores",4,1,1,2,35,NA,1,0,80,40.4097993460848,-3.70068121093753
"32","Embajadores",10,1,3,5,245,NA,1,0,NA,40.4118744602771,-3.70130863124113
"33","Embajadores",8,2,4,6,120,NA,4,15,93,40.4087232151542,-3.69236201914807
"34","Embajadores",3,1,1,2,40,NA,1,12,91,40.4117761120686,-3.70489861426865
"35","La Latina",4,1,2,3,65,NA,1,0,92,40.4063537097326,-3.70399142946304
"36","Embajadores",2,1,1,1,29,NA,1,0,75,40.4101953795046,-3.7017014543497
"37","Embajadores",2,1,0,1,49,NA,1,0,88,40.4101036843326,-3.70240795163361
"38","La Latina",3,1,1,1,48,NA,2,12,87,40.4084261111063,-3.70626718262845
"39","Embajadores",3,1,1,1,48,NA,2,15,92,40.407177992344,-3.70326771718013
"40","Embajadores",6,1,3,4,180,NA,4,0,93,40.4114304803739,-3.69973694868654
"41","Embajadores",4,1,1,2,85,NA,1,0,80,40.4117404362405,-3.70388477981048
"42","Embajadores",3,1,1,2,40,NA,2,10,96,40.4105138259018,-3.69905553809948
"43","Malasaña",6,1,2,3,85,NA,4,16,86,40.4258030754775,-3.70326305948532
"44","Malasaña",4,1,1,3,75,NA,2,15,97,40.4260612000585,-3.70233140816889
"45","Malasaña",4,1,2,2,50,NA,3,0,84,40.4239654505433,-3.70910772706183
"46","Malasaña",3,1,1,1,55,NA,1,0,87,40.4288259374773,-3.70448457201647
"47","Malasaña",4,1,1,2,45,NA,1,0,79,40.4210712466745,-3.70585325148163
"48","Malasaña",8,1,2,5,99,NA,1,0,90,40.4243598134732,-3.70673078923122
"49","Malasaña",3,1,1,2,40,NA,2,10,82,40.4223739459342,-3.70424691075211
"50","Malasaña",4,1,1,2,76,NA,2,20,99,40.4259016645576,-3.70664970326568
"51","Malasaña",2,1,0,1,50,NA,1,10,93,40.4243693689046,-3.70113402547783
"52","Malasaña",2,1,0,1,43,NA,1,0,100,40.4280618774986,-3.70300778749187
"53","Malasaña",4,1,1,2,65,NA,2,10,96,40.4249485212969,-3.70168371656808
"54","Malasaña",4,1,0,1,49,NA,2,12,81,40.4261328590921,-3.70268922224853
"55","Malasaña",3,1,0,2,50,NA,2,5,60,40.4219896499825,-3.70342561231085
"56","Malasaña",4,1,2,3,75,NA,2,15,94,40.4269461129848,-3.70936828530517
"57","Malasaña",10,2,4,4,300,NA,6,20,100,40.4244470272092,-3.70442822308286
"58","Malasaña",5,1,2,3,55,NA,2,8,87,40.4240587445675,-3.70517192741441
"59","Sol",8,2,3,5,168,NA,5,0,100,40.4170324721551,-3.70728218012518
"60","Sol",4,1,1,2,99,NA,2,0,94,40.4170243679673,-3.70655269326523
"61","Sol",4,1,1,2,65,NA,1,20,92,40.4189394326398,-3.70067392038028
"62","Sol",6,1,2,2,125,NA,4,20,95,40.4170655160714,-3.7032481354084
"63","Sol",4,1,0,1,95,NA,2,20,NA,40.4196687890954,-3.70162423303432
"64","Sol",2,1,0,1,39,NA,1,0,82,40.4174604602667,-3.7065536748258
"65","Sol",8,2,3,5,177,NA,5,0,95,40.4171815826586,-3.70795909638614
"66","Sol",6,2,2,3,275,NA,2,15,100,40.4177242847935,-3.70071913532029
"67","Sol",5,2,3,3,135,NA,4,10,97,40.4142593222537,-3.70600478783573
"68","Sol",6,1,2,3,110,NA,2,40,100,40.4163327442539,-3.70291875052446
"69","Sol",3,1,1,2,63,NA,2,15,97,40.4154766318274,-3.70513446406344
"70","Sol",4,1,1,2,91,NA,3,0,100,40.4164710966602,-3.70702278997719
"71","Sol",5,2,2,2,120,NA,4,0,100,40.417225572477,-3.70747633099944
"72","Sol",4,1,2,2,87,NA,2,12,94,40.4185365880607,-3.70255098600331
"73","Sol",6,2,2,4,130,NA,3,20,75,40.4148677026628,-3.70752914590183
"74","Sol",2,1,1,1,70,NA,1,0,95,40.4148586547647,-3.70445904801403
"75","Sol",4,1,1,2,82,NA,2,11,100,40.418485489008,-3.70339735829102
"76","Sol",3,1,0,2,69,NA,2,5,94,40.4194486595953,-3.70069090124332
"77","Acacias",4,1,1,2,60,538,2,15,98,40.4051286262341,-3.7077258169303
"78","Acacias",8,3,4,7,140,NA,6,20,96,40.4024885254649,-3.70708280052268
"79","Palos do Moguer",3,1,1,2,75,NA,1,25,96,40.4042063149225,-3.69643387227922
"80","Palos do Moguer",3,1,0,2,49,NA,2,19,93,40.4017946372326,-3.69223400497245
"81","Pacifico",3,1,1,2,49,NA,1,10,NA,40.4029839268962,-3.67651253017183
"82","El Tréntaiseis",4,2,2,3,140,NA,1,0,98,40.4118753992342,-3.66957098362788
"83","Ibiza",4,1,2,3,95,NA,1,0,99,40.4203267332353,-3.67516719950183
"84","Jerónimos",2,1,1,1,65,NA,1,0,92,40.4081285497975,-3.68441031748115
"85","Jerónimos",4,1,1,4,130,NA,1,0,85,40.4132094413376,-3.68955187875039
"86","Jerónimos",5,2,2,2,100,NA,1,0,94,40.414628295071,-3.69134704835523
"87","Cortes",2,1,1,1,45,NA,2,25,NA,40.4129794995844,-3.6994938553199
"88","Cortes",4,2,1,3,98,NA,2,25,NA,40.4146274179511,-3.70130241421372
"89","Cortes",4,1,0,2,45,NA,2,0,91,40.4125216662158,-3.69582964014639
"90","Cortes",6,2,2,3,100,NA,2,10,70,40.4117007186948,-3.69635832939347
"91","Cortes",4,1,0,2,82,NA,2,15,97,40.4140597956229,-3.69632384112348
"92","Justicia",1,1,1,1,100,NA,1,0,NA,40.4219570482283,-3.70018719060512
"93","Justicia",5,2,2,3,149,NA,3,12,95,40.4226560195927,-3.69489631915501
"94","Justicia",2,1,0,1,35,NA,1,0,85,40.4262447951302,-3.7002991032885
"95","Justicia",4,1,1,2,185,NA,4,35,NA,40.4265419337887,-3.70032898068044
"96","Malasaña",4,1,1,2,65,NA,1,0,90,40.4239183250397,-3.70284487886033
"97","Malasaña",4,1,2,3,105,753,1,0,97,40.4290036397763,-3.70349825270182
"98","Malasaña",4,1,2,5,89,NA,2,25,88,40.4212465537784,-3.70155142311122
"99","Malasaña",3,1,1,2,37,NA,2,9,87,40.4246918806302,-3.7087970590315
"100","Malasaña",2,1,0,1,50,NA,1,0,89,40.4220949750826,-3.70212388928327
"101","Malasaña",3,1,1,1,70,NA,1,0,79,40.4212832037946,-3.70171452111812
"102","Recoletos",4,1,1,2,130,NA,2,10,NA,40.4213738831181,-3.68866617057675
"103","Recoletos",4,2,2,3,260,NA,1,0,100,40.4251186536826,-3.68478224942935
"104","Recoletos",2,1,0,1,75,NA,1,0,89,40.4269852505602,-3.68398629563705
"105","Recoletos",2,1,1,1,110,NA,2,0,95,40.4231417521405,-3.68951963334665
"106","Recoletos",2,1,0,2,61,323,1,0,92,40.4280021393841,-3.68640921806201
"107","Goya",2,1,1,1,78,NA,1,0,91,40.4261513622678,-3.67076068390191
"108","Goya",4,1,1,2,69,NA,1,0,91,40.4264399442006,-3.66972498269208
"109","Goya",4,2,2,3,158,NA,2,20,100,40.4264102972373,-3.67327781257859
"110","Fuente del Berro",6,2,3,6,80,NA,4,8,100,40.425848826098,-3.66269410589436
"111","Guindalera",8,2,3,4,148,NA,6,15,94,40.4383200243937,-3.67337632152733
"112","Guindalera",2,1,2,1,43,NA,1,0,91,40.4322835896547,-3.66691343243744
"113","Lista",5,2,2,2,210,NA,1,0,NA,40.434257921834,-3.67749690183818
"114","Malasaña",2,1,1,1,150,NA,2,17,NA,40.4218509214113,-3.70616299326651
"115","Malasaña",2,1,0,1,50,NA,1,6,88,40.4215487478232,-3.7074452143864
"116","Malasaña",2,1,1,1,55,NA,1,0,93,40.4231449104586,-3.7010801296149
"117","Malasaña",2,1,1,1,42,NA,1,0,83,40.4207942290267,-3.70335415353155
"118","Malasaña",1,1,0,1,50,NA,1,0,NA,40.4282529239749,-3.70363673610789
"119","Malasaña",8,2,3,4,120,1184,6,0,83,40.4219838042702,-3.70541888552858
"120","Malasaña",4,1,1,1,99,NA,2,15,93,40.4243238296286,-3.70634549678008
"121","Malasaña",3,1,1,3,85,NA,1,0,91,40.4209608969992,-3.70428027913689
"122","Malasaña",3,1,2,2,90,NA,2,30,96,40.4239467268717,-3.70590824674882
"123","Sol",4,1,1,2,70,0,2,10,91,40.4152504954368,-3.70419647231435
"124","Hispanoamérica",3,1,1,3,120,NA,2,20,80,40.4579722427268,-3.68691865801435
"125","Nueva España",3,2,2,1,74,NA,1,0,NA,40.459460338171,-3.68048143167875
"126","Castilla",4,1,2,2,55,NA,3,10,85,40.4710202063358,-3.67467158150414
"127","Cuatro Caminos",4,1,1,3,76,0,2,9,88,40.4510251279054,-3.69605750699925
"128","Cuatro Caminos",4,1,1,1,99,NA,2,10,97,40.4558133276622,-3.69348605694148
"129","Castillejos",3,1,1,2,65,NA,2,15,89,40.4610112828484,-3.69031100568783
"130","Castillejos",2,1,1,1,110,NA,1,0,93,40.4577336987018,-3.69355526807765
"131","Valdeacederas",2,1,1,1,31,NA,1,0,65,40.4648736973834,-3.69813650224639
"132","Gaztambide",4,1,1,2,45,NA,2,15,83,40.4356731844671,-3.71638525456368
"133","Gaztambide",6,3,3,5,260,NA,1,0,100,40.4306152853442,-3.71446460998208
"134","Hortaleza",2,1,0,1,35,NA,2,0,NA,40.4640775212827,-3.63012539926552
"135","Arapiles",3,1,0,2,70,NA,1,0,96,40.431091151912,-3.70830017715444
"136","Arapiles",4,1,1,1,70,NA,1,0,80,40.4311992512013,-3.71007060341419
"137","Arapiles",2,1,0,1,42,NA,1,0,94,40.4330218825169,-3.71028329722966
"138","Arapiles",2,1,1,1,50,NA,1,0,88,40.43430702182,-3.70517387402389
"139","Trafalgar",8,3.5,4,6,280,NA,6,0,91,40.4298060138212,-3.70544644400412
"140","Trafalgar",4,1,1,1,80,NA,2,15,93,40.4304210570724,-3.70118268256559
"141","Trafalgar",3,1,1,3,60,NA,2,15,70,40.4313982730786,-3.70327987528095
"142","Trafalgar",6,2,2,4,130,NA,2,10,100,40.4360880924784,-3.70165461686978
"143","Trafalgar",10,3,4,8,205,NA,4,5,96,40.4294581391721,-3.7016967311846
"144","Almagro",4,1,0,1,59,NA,1,15,87,40.4298108532953,-3.69529121512942
"145","Almagro",3,1,1,2,105,NA,2,15,NA,40.43463979247,-3.69099719020017
"146","Almagro",4,2,2,2,143,NA,2,15,NA,40.4341429430678,-3.69223652383733
"147","Rios Rosas",3,1,1,2,45,NA,1,0,91,40.4425956227986,-3.69780117660973
"148","Rios Rosas",3,1,2,2,65,NA,1,15,96,40.4397281731089,-3.69835032353793
"149","Fuencarral-el Pardo",4,1.5,2,2,60,NA,2,15,96,40.4810467465025,-3.71320553681504
"150","Fuencarral-el Pardo",6,1,0,4,69,NA,2,9,NA,40.4755647381598,-3.72735864140159
"151","Argüelles",6,2,3,3,169,NA,1,0,98,40.421306380851,-3.71520728740612
"152","Argüelles",2,1,0,2,32,NA,1,5,NA,40.4252219974571,-3.71506194883101
"153","Argüelles",4,1,1,4,135,NA,2,20,80,40.4216989277086,-3.71555830693208
"154","Argüelles",4,1,1,1,75,NA,1,0,100,40.421751535801,-3.71489525499119
"155","Argüelles",4,1,2,2,80,NA,2,10,97,40.4322329255832,-3.71954621137309
"156","Argüelles",4,1.5,2,2,95,1044,2,15,89,40.4291978112755,-3.71777508207305
"157","Villaverde",2,1,1,1,42,NA,1,0,97,40.3528718971256,-3.68182908132372
"158","Embajadores",5,1,2,3,88,NA,1,0,90,40.408067480817,-3.69487980055998
"159","Embajadores",2,1,0,2,35,NA,2,0,96,40.40890016923,-3.69967409526227
"160","Embajadores",4,1,1,2,60,NA,1,0,80,40.4064872848223,-3.70157444929443
"161","Embajadores",4,1,0,2,70,NA,2,20,100,40.4107222270202,-3.70538388792466
"162","Embajadores",4,1,0,2,95,NA,2,0,98,40.410407105318,-3.69892346243337
"163","Cortes",6,2,2,1,108,90,2,11,86,40.4113338315677,-3.69519699873899
"164","Cortes",4,1,2,3,75,NA,2,15,95,40.4118704168969,-3.69410503701006
"165","Cortes",2,1,1,1,68,NA,1,0,98,40.4122491730318,-3.69323699761755
"166","Cortes",4,1,1,2,60,NA,2,15,98,40.4167559349274,-3.70019630157626
"167","Cortes",2,2,1,1,60,43,2,15,81,40.414027880617,-3.70120581201946
"168","Cortes",2,1,1,1,52,NA,1,0,94,40.4133896023736,-3.69899324533428
"169","Cortes",5,2,2,2,130,NA,4,20,97,40.4147587255725,-3.69531292688788
"170","Cortes",3,1,1,2,60,NA,2,30,95,40.4131876367164,-3.69544159852125
"171","Cortes",4,1,2,2,55,NA,2,10,NA,40.4131627849672,-3.6995080939897
"172","Cortes",5,1,2,4,80,NA,2,15,95,40.4119035300758,-3.69552452966532
"173","Cortes",4,1,1,1,68,0,2,15,90,40.4153152975235,-3.69522715410757
"174","Cortes",7,2,3,3,95,NA,2,10,NA,40.4116104883988,-3.6966648795492
"175","Cortes",3,1,1,2,89,NA,1,0,NA,40.4119521744424,-3.69447946181506
"176","Cortes",4,1,0,3,89,NA,1,0,NA,40.4104944349238,-3.69429681834881
"177","Justicia",4,1,1,2,100,NA,1,10,80,40.4220247416503,-3.69911083829027
"178","Justicia",6,2,2,4,200,NA,4,20,99,40.4237785467662,-3.69455243765248
"179","Justicia",6,1,2,3,195,NA,6,0,NA,40.4267136952233,-3.69985450348783
"180","Justicia",2,1,1,1,74,NA,1,0,90,40.4200723432378,-3.69863700808432
"181","Justicia",5,1,2,2,140,NA,1,0,60,40.4220844267588,-3.70079792115086
"182","Justicia",2,1,1,1,75,NA,1,0,91,40.4226395559673,-3.6936766275841
"183","Justicia",3,1,2,2,85,NA,1,0,97,40.4273554683186,-3.70014697731457
"184","Justicia",4,1,1,2,120,NA,1,0,NA,40.422880672031,-3.69631799701991
"185","Justicia",2,1,1,1,50,NA,1,0,94,40.4229403051084,-3.70056577261567
"186","Justicia",2,1.5,1,1,120,NA,1,0,100,40.4243939493315,-3.69851873418165
"187","Malasaña",2,1,0,1,55,NA,1,0,98,40.4210544028497,-3.70542292871517
"188","Aluche",4,1,2,2,65,NA,2,10,80,40.4012843560824,-3.74821790377916
"189","Aluche",6,1,3,3,55,NA,5,20,89,40.3911261057853,-3.75406768995164
"190","Fuencarral-el Pardo",4,1,2,3,51,NA,3,15,93,40.4730185269659,-3.71414759563475
"191","Fuencarral-el Pardo",4,2,2,3,70,NA,4,10,NA,40.49084007674,-3.69163312367682
"192","Fuencarral-el Pardo",2,1,1,1,150,NA,1,0,100,40.5097247505334,-3.66353212392921
"193","Argüelles",4,1,1,2,63,NA,1,0,96,40.4229664226824,-3.72392148705805
"194","Tetuán",6,2,3,5,100,NA,4,15,97,40.4480384465872,-3.70940316161376
"195","Aluche",5,1,2,3,50,NA,2,5,NA,40.4124838551523,-3.72775334902108
"196","Usera",3,1,1,1,79,NA,1,0,80,40.3843871051697,-3.70337981086943
"197","Puente de Vallecas",3,1,1,2,50,NA,1,20,100,40.394039810413,-3.66745304644386
"198","Puente de Vallecas",4,1,1,3,45,NA,4,0,79,40.3896877993116,-3.65392458988597
"199","Malasaña",3,1,1,3,55,NA,2,15,90,40.4268401464663,-3.71072813200764
"200","Malasaña",4,1,1,1,55,NA,1,5,NA,40.4243425550268,-3.70487903123484
"201","Malasaña",4,1,1,1,90,NA,2,10,100,40.4287424543892,-3.71260586279935
"202","Malasaña",5,2,2,3,135,NA,4,15,97,40.4259681251563,-3.70689149425819
"203","Sol",4,1,1,2,85,NA,2,15,96,40.4183975665118,-3.70795480111342
"204","Sol",4,1,0,1,49,NA,1,10,91,40.4174408385036,-3.7054526173304
"205","Sol",4,1,1,2,59,NA,2,18,97,40.4144751149859,-3.70680549281236
"206","Sol",2,1,0,2,70,NA,1,0,NA,40.417814478122,-3.70267370888201
"207","Malasaña",5,1,2,3,75,NA,1,0,100,40.4235448602814,-3.70141092596651
"208","Malasaña",4,1,1,2,38,NA,2,10,82,40.4260206981779,-3.70501576980941
"209","Malasaña",2,1.5,1,1,68,NA,1,0,95,40.4245227554768,-3.70420537897868
"210","Malasaña",4,1,1,1,70,NA,2,8,98,40.4237256650479,-3.70274974063181
"211","Malasaña",4,1,1,2,65,NA,3,0,84,40.4218400468868,-3.70376975846048
"212","Malasaña",4,1,1,1,63,NA,2,15,92,40.4224781648676,-3.70891381211032
"213","Malasaña",3,1,1,2,55,NA,2,25,90,40.4209929045082,-3.70650837707333
"214","Malasaña",4,1,1,2,48,NA,1,0,84,40.4214342476205,-3.70664355825414
"215","Malasaña",6,2,2,4,500,1130,3,5,84,40.42339184105,-3.7012929677849
"216","Malasaña",2,1,0,1,40,NA,1,15,100,40.4205730991175,-3.70621173516363
"217","Malasaña",4,1,1,2,95,NA,2,10,87,40.4278369023319,-3.70366206310978
"218","Malasaña",2,1,0,1,55,NA,1,0,93,40.4221435013639,-3.70628981138797
"219","La Latina",5,1,1,3,90,NA,2,10,92,40.4094027213534,-3.70512123994426
"220","Embajadores",8,2,3,4,140,NA,2,15,96,40.4131766432743,-3.70288818041981
"221","Embajadores",4,1,1,2,80,NA,1,0,96,40.4109581601719,-3.70164984075733
"222","La Latina",3,1,1,2,38,NA,1,0,NA,40.4087293051023,-3.70536570270025
"223","Embajadores",2,1,1,1,50,NA,1,0,83,40.4112898632211,-3.70223636328773
"224","Embajadores",6,1,2,4,120,NA,3,10,80,40.4121175971994,-3.70517778118934
"225","La Latina",4,1,1,1,55,NA,1,0,84,40.4100931566092,-3.70621618214538
"226","Cortes",3,1,1,2,58,0,2,12,98,40.4117529345165,-3.69723554009237
"227","La Chopera",4,1,2,3,50,NA,4,15,93,40.3925326032807,-3.69561573713676
"228","Legazpi",5,2,2,3,100,NA,1,0,97,40.3895984298665,-3.69133344660192
"229","Delicias",5,1,3,3,60,NA,2,12,93,40.3978489649233,-3.69324947002041
"230","Palos do Moguer",4,1,2,3,46,NA,1,0,92,40.4056183566932,-3.69461346535529
"231","Palos do Moguer",3,1.5,2,2,95,NA,4,10,NA,40.4053608006502,-3.69209412590129
"232","Palos do Moguer",1,1,1,1,150,NA,1,0,NA,40.4017686137075,-3.69037416340425
"233","Palos do Moguer",6,1,2,4,100,NA,1,0,98,40.4042623665497,-3.69647058400707
"234","Recoletos",4,1,1,2,69,NA,2,19,97,40.4228551396738,-3.68439602974744
"235","Goya",2,2,2,2,143,NA,1,0,100,40.4229176479253,-3.67762584555563
"236","Goya",7,2,2,3,200,NA,4,30,97,40.4260309202353,-3.67466022348267
"237","Goya",5,2,2,5,170,NA,3,0,97,40.4248547649879,-3.67614628058184
"238","Fuente del Berro",2,2,1,2,85,NA,1,0,NA,40.4268801920525,-3.66782718481876
"239","Sol",4,1,1,2,75,NA,2,10,80,40.4157765763699,-3.70273504386513
"240","Sol",2,1,0,1,71,NA,1,0,92,40.4160281827776,-3.70400846032184
"241","Sol",2,1,1,1,75,NA,1,0,91,40.418710676229,-3.69979936763999
"242","Sol",2,1,0,1,70,NA,2,10,NA,40.4155743040043,-3.70284551919103
"243","Sol",4,1,1,2,93,NA,1,0,NA,40.4171170517947,-3.70783211328693
"244","Cortes",4,1,1,2,100,NA,1,0,98,40.4164773508613,-3.70050768305293
"245","Sol",2,1,1,1,75,71,2,0,91,40.419166703185,-3.70624249303498
"246","Sol",7,2,2,4,300,NA,4,30,100,40.4164306391075,-3.70676469737074
"247","Sol",6,2,2,4,130,NA,4,20,94,40.4169730677815,-3.70795245897485
"248","Sol",8,2,3,6,220,NA,6,20,100,40.4173028246466,-3.70504174459588
"249","Sol",4,1,1,1,119,NA,5,20,NA,40.4189923920193,-3.69985198663103
"250","Sol",4,1,0,2,110,NA,2,20,NA,40.4178005269271,-3.70137080642231
"251","Arapiles",2,1,1,1,50,NA,1,0,NA,40.4315699571488,-3.70795834505072
"252","Arapiles",6,2,3,3,130,NA,2,10,80,40.4383072118507,-3.71079770102217
"253","Trafalgar",2,1,1,1,90,NA,1,0,100,40.4298380352343,-3.70478330851031
"254","Trafalgar",10,3,4,8,500,NA,1,0,96,40.4301338380924,-3.70132455136988
"255","Trafalgar",8,2,3,4,240,0,1,0,90,40.4309832406718,-3.7016997905935
"256","Trafalgar",4,1,0,1,39,NA,1,0,77,40.4348840857127,-3.70127826924611
"257","Trafalgar",6,2,2,4,120,NA,2,10,NA,40.434925437122,-3.70252488375
"258","Trafalgar",2,1,1,1,66,NA,2,50,NA,40.4306153074116,-3.70257537962008
"259","Trafalgar",2,1,1,2,48,NA,2,10,93,40.4301562383191,-3.70525864212219
"260","Almagro",7,2,2,4,105,NA,2,18,96,40.4265244461317,-3.69173535994625
"261","Almagro",3,1,1,2,110,NA,2,15,NA,40.4340792678119,-3.69216791827314
"262","Almagro",4,2,2,2,170,NA,2,15,80,40.434467706625,-3.69099991568122
"263","Almagro",4,1,1,4,49,NA,2,10,91,40.4308856469542,-3.69616803210865
"264","Almagro",2,1,1,1,89,NA,1,0,NA,40.437959166155,-3.6925068210311
"265","Fuencarral-el Pardo",8,2,1,6,94,NA,2,11,NA,40.474575754126,-3.72936771496256
"266","Argüelles",2,1,1,1,75,35,2,11,76,40.4250321333973,-3.71359934295424
"267","Argüelles",2,1,2,2,57,NA,1,20,80,40.4284445560196,-3.71893804819352
"268","Argüelles",3,1,2,3,95,NA,3,0,NA,40.4288224300205,-3.7162053580099
"269","Ciudad Lineal",3,1,2,2,50,NA,1,0,90,40.4308158845555,-3.65186477411596
"270","Ciudad Lineal",4,1,2,2,50,NA,1,0,96,40.4227487453718,-3.62842895400085
"271","Ciudad Lineal",4,1,1,2,55,NA,1,0,100,40.4372147167684,-3.64158654772193
"272","Hortaleza",4,1.5,1,1,60,NA,2,25,93,40.4873997736364,-3.66616856369239
"273","Fuencarral-el Pardo",4,1,2,3,39,NA,1,0,94,40.4853384993897,-3.68749177715387
"274","Moncloa",2,1,1,1,65,NA,1,0,100,40.4389284714403,-3.71916691257097
"275","Moncloa",4,2,2,3,63,NA,2,15,100,40.4476522742708,-3.71169421704476
"276","Moncloa",5,3.5,3,4,150,NA,1,0,89,40.4723261446145,-3.83549836325559
"277","Justicia",4,1,1,1,70,NA,2,8,86,40.4238210963651,-3.69763056215495
"278","Justicia",4,1,1,2,120,NA,3,30,93,40.4222443244424,-3.70037364218885
"279","Justicia",2,1,1,1,100,NA,1,0,NA,40.4264053523738,-3.6954290646978
"280","Justicia",4,1,2,3,100,NA,1,0,91,40.4210905867472,-3.6979845406435
"281","Justicia",4,1,0,2,49,NA,2,10,97,40.421241784752,-3.7004963380358
"282","Justicia",4,1,0,2,47,NA,2,8,92,40.4250915008408,-3.69713035680418
"283","Justicia",5,1,3,3,70,861,1,10,90,40.421698988454,-3.70036437236982
"284","Justicia",2,1,1,1,76,NA,2,11,68,40.4211503440218,-3.69872296590432
"285","Justicia",2,1,1,1,120,NA,1,0,94,40.4270177337485,-3.69995167109037
"286","Sol",6,1,2,3,102,807,1,11,80,40.4197692778907,-3.6999109520061
"287","Sol",2,1,0,1,48,NA,2,10,91,40.4137953672755,-3.70760239288553
"288","Sol",4,1,2,3,140,NA,3,12,99,40.4174132450101,-3.70784375869037
"289","Sol",4,1,1,2,59,NA,2,18,97,40.4144954896355,-3.70672534366604
"290","Sol",16,2,4,16,80,0,2,25,82,40.4148860647886,-3.70738313762075
"291","Acacias",4,1,2,3,100,NA,1,0,NA,40.4053975684213,-3.71190907396419
"292","Acacias",3,1,2,2,55,NA,1,0,92,40.4036738766427,-3.70480967255022
"293","Acacias",4,2,2,2,65,NA,1,0,88,40.4012484024819,-3.70212457819637
"294","Pacifico",3,1,1,2,90,NA,1,0,83,40.4059162166859,-3.68058391789519
"295","Pacifico",4,1,1,2,47,NA,2,10,91,40.4067495482231,-3.67862511032705
"296","Pacifico",5,1,2,2,54,NA,2,13,88,40.4072793141537,-3.67894739880325
"297","Adelfas",2,1,1,1,60,NA,1,0,87,40.4024561585373,-3.66917004896525
"298","Ibiza",4,2,2,3,150,NA,1,0,100,40.4160859821216,-3.67676602842088
"299","Ibiza",4,1,1,1,70,NA,2,15,94,40.4188508027338,-3.67744253148079
"300","Ibiza",5,2.5,3,3,150,NA,3,25,NA,40.4178317749526,-3.67449079444486
"301","Retiro",3,2,2,2,120,NA,3,40,89,40.419178378873,-3.67421756873824
"302","Jerónimos",2,1,1,1,85,NA,1,0,97,40.4169844796651,-3.69035217688542
"303","Jerónimos",4,2.5,2,2,150,NA,1,0,96,40.4106642285684,-3.68799086897982
"304","Jerónimos",8,3,4,5,235,NA,6,31,100,40.4178840004166,-3.68966875036639
"305","Guindalera",4,1,1,1,80,NA,2,20,98,40.4321422322244,-3.66633107080004
"306","Guindalera",4,1,1,2,60,NA,2,10,94,40.4347464087151,-3.66909523994807
"307","Lista",6,2,4,5,90,NA,4,12,92,40.4348251010722,-3.67794739554204
"308","Lista",9,2,4,8,120,1076,8,20,91,40.4303030903905,-3.67176168595413
"309","Lista",4,1,1,2,55,NA,2,20,100,40.4298788369214,-3.67341391464945
"310","Castellana",4,1.5,2,2,99,NA,1,0,83,40.4358469838545,-3.68303873252243
