"","Neighbourhood","Accommodates","Bathrooms","Bedrooms","Beds","Price","Square.Feet","Guests.Included","Extra.People","Review.Scores.Rating","Latitude","Longitude"
"3633","Pacifico",6,1,3,3,40,NA,2,10,86,40.4039267036333,-3.68092521359894
"3634","Pacifico",8,2,3,6,150,NA,1,0,NA,40.404632008038,-3.6800928708632
"3635","Adelfas",8,2,4,6,100,NA,2,20,NA,40.4011929802775,-3.67475027821132
"3636","Adelfas",4,1,1,1,71,NA,1,0,60,40.401115437038,-3.66932164757513
"3637","Ibiza",6,3,3,3,150,NA,4,15,91,40.4207455309498,-3.67876288147584
"3638","Goya",2,1,1,1,110,NA,2,0,90,40.4267043768298,-3.67312249639951
"3639","Guindalera",2,1,0,2,50,NA,1,0,90,40.437341794747,-3.67229999693054
"3640","Castillejos",4,1,1,2,160,NA,1,0,NA,40.4587811224477,-3.69388171255278
"3641","Almenara",4,1,2,4,85,NA,1,0,89,40.4710690075439,-3.68908022090194
"3642","Berruguete",5,1,2,3,42,NA,1,0,88,40.457599699616,-3.70670491001111
"3643","Gaztambide",4,1,1,2,63,NA,1,0,80,40.4349693791516,-3.71592234024825
"3644","Gaztambide",4,2,3,3,139,NA,1,0,96,40.4319876342325,-3.71392201063282
"3645","Gaztambide",2,1,0,1,50,NA,1,0,99,40.4315795121245,-3.71255284633587
"3646","Gaztambide",2,1,1,1,65,NA,1,0,100,40.4357132720987,-3.71241692590051
"3647","Gaztambide",4,1,2,2,60,NA,2,5,93,40.4357779095868,-3.71283990508637
"3648","Gaztambide",4,1,1,2,48,NA,2,15,95,40.4315410638987,-3.71192747910473
"3649","Gaztambide",6,2,3,6,80,NA,2,15,94,40.4333613942176,-3.71289549273124
"3650","Ciudad Jardin",4,1,2,2,95,NA,2,10,97,40.4494869069025,-3.6760766066093
"3651","Hispanoamérica",4,1,1,1,110,NA,2,20,70,40.4536368561213,-3.67791706304904
"3652","Nueva España",2,1,1,1,49,NA,1,0,99,40.4629244946572,-3.68169730134498
"3653","Cuatro Caminos",2,1,1,1,35,NA,2,6,97,40.4520212840173,-3.69632782150437
"3654","Rios Rosas",2,1,1,1,50,NA,2,0,78,40.4402412631408,-3.70137855918934
"3655","Rios Rosas",6,4,4,1,197,2153,1,12,88,40.4415272726293,-3.69457076016848
"3656","Argüelles",4,1,1,2,95,NA,2,20,99,40.4227493794888,-3.71519440491199
"3657","Trafalgar",3,1,2,2,90,NA,1,0,NA,40.4316277222257,-3.70136141827258
"3658","Trafalgar",6,1,3,3,78,NA,1,0,NA,40.4301928839751,-3.70539436624764
"3659","Trafalgar",6,1,2,7,45,NA,2,25,90,40.438424566604,-3.70226798250872
"3660","Chamberí",5,2,2,4,210,NA,4,15,97,40.4285782363647,-3.69858486156615
"3661","Almagro",2,1,1,2,50,NA,1,0,96,40.4274855843072,-3.69385401604988
"3662","Guindalera",3,1,1,2,45,NA,1,15,80,40.434375627728,-3.67304856434531
"3663","Lista",4,1,2,2,77,NA,1,0,96,40.4301473333149,-3.67155307710318
"3664","Castellana",2,1,1,2,160,NA,1,0,NA,40.435977123252,-3.68395645187259
"3665","Recoletos",5,2,3,4,237,NA,2,0,100,40.4292897173003,-3.68548432073638
"3666","El Viso",4,1,1,1,70,NA,1,0,74,40.4390547668363,-3.68078298909631
"3667","El Viso",2,1,0,1,55,NA,1,0,100,40.4447419402049,-3.68310459647328
"3668","Prosperidad",2,1,2,1,63,NA,1,0,97,40.4435334863028,-3.67263011634103
"3669","Embajadores",3,1,0,2,50,NA,2,8,94,40.411108269337,-3.70239913644292
"3670","La Latina",6,2,2,4,135,NA,4,10,NA,40.4089476712528,-3.70955738167199
"3671","Embajadores",4,1,0,2,50,NA,2,8,92,40.4113024994563,-3.70114478897044
"3672","La Latina",4,1,1,2,45,NA,1,0,NA,40.4102176399645,-3.7070835732968
"3673","La Latina",5,1,2,4,200,NA,1,0,80,40.4084713938899,-3.70812963109574
"3674","La Latina",2,1,1,1,55,NA,1,10,91,40.4082488356108,-3.70455681069189
"3675","La Latina",6,1,2,4,125,NA,3,10,73,40.4102276676876,-3.70851182749516
"3676","La Latina",4,1,1,2,57,NA,2,20,90,40.4110885308267,-3.70837546232914
"3677","Embajadores",2,1,0,1,44,NA,1,0,90,40.4079980264149,-3.70186264982101
"3678","Embajadores",5,2,2,3,150,NA,3,50,94,40.4140860039853,-3.70334377960544
"3679","Embajadores",4,1,0,2,45,NA,2,15,95,40.407155287544,-3.70136911394906
